Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2018-08-31,131.044,132.29,130.702,132.123,3622100,0.0,0.0
2018-09-04,131.413,133.079,131.325,132.693,6145800,0.0,0.0
2018-09-05,132.457,135.343,131.957,135.237,5658000,0.0,0.0
2018-09-06,135.799,136.807,135.307,135.658,3924900,0.0,0.0
2018-09-07,135.246,137.369,135.141,136.053,5445900,0.0,0.0
2018-09-10,136.79,137.641,136.764,136.807,4210200,0.0,0.0
2018-09-11,136.807,137.553,135.807,137.106,3608100,0.0,0.0
2018-09-12,137.246,138.325,136.895,137.711,4142700,0.0,0.0
2018-09-13,138.264,138.553,136.904,137.395,3328700,0.0,0.0
2018-09-14,137.807,138.422,136.974,138.079,2585000,0.0,0.0
2018-09-17,138.158,138.465,137.079,137.465,2685700,0.0,0.0
2018-09-18,143.86,144.369,142.851,143.597,10399300,0.0,0.0
2018-09-19,143.465,143.597,142.018,142.807,6318300,0.0,0.0
2018-09-20,143.492,144.834,142.571,143.869,6496700,0.0,0.0
2018-09-21,144.483,145.29,144.343,144.729,13247500,0.0,0.0
2018-09-24,144.281,144.597,143.027,143.141,4956200,0.0,0.0
2018-09-25,144.044,144.422,142.869,143.176,5815900,0.0,0.0
2018-09-26,142.992,144.334,142.632,142.799,3497300,0.0,0.0
2018-09-27,143.079,144.141,142.553,143.685,2893000,0.0,0.0
2018-09-28,143.422,143.992,142.369,142.834,3666300,0.0,0.0
2018-10-01,144.22,144.72,143.939,144.123,3176400,0.0,0.0
2018-10-02,144.334,144.334,142.465,143.115,3833100,0.0,0.0
2018-10-03,143.693,144.536,142.685,143.036,3362900,0.0,0.0
2018-10-04,143.72,144.43,142.527,144.246,3177000,0.0,0.0
2018-10-05,144.053,144.422,143.027,143.658,2814600,0.0,0.0
2018-10-08,143.185,144.632,142.272,144.351,3245200,0.0,0.0
2018-10-09,144.123,144.439,142.343,142.448,3558700,0.0,0.0
2018-10-10,142.448,142.957,135.237,135.492,8011000,0.0,0.0
2018-10-11,135.22,137.088,131.895,133.413,6631600,0.0,0.0
2018-10-12,135.114,136.123,133.027,133.904,5435300,0.0,0.0
2018-10-15,134.211,135.553,133.036,133.5,4717700,0.0,0.0
2018-10-16,134.386,134.834,133.264,134.343,6731800,0.0,0.0
2018-10-17,135.053,135.474,130.913,131.483,6680200,0.0,0.0
2018-10-18,128.746,131.65,128.588,130.281,7973200,0.0,0.0
2018-10-19,130.123,131.343,129.597,130.439,5546500,0.0,0.0
2018-10-22,128.685,129.281,127.711,128.79,6467500,0.0,0.0
2018-10-23,126.842,127.141,124.185,126.246,6561800,0.0,0.0
2018-10-24,127.0,128.22,123.176,123.202,8014500,0.0,0.0
2018-10-25,119.737,127.325,119.132,126.448,9038100,0.0,0.0
2018-10-26,125.5,126.457,122.878,125.211,5664100,0.0,0.0
2018-10-29,126.913,126.939,122.211,123.983,5296200,0.0,0.0
2018-10-30,124.562,128.606,124.281,128.316,4934900,0.0,0.0
2018-10-31,129.211,130.667,127.992,128.264,4355300,0.0,0.0
2018-11-01,129.088,129.781,128.281,129.106,3561600,0.0,0.0
2018-11-02,130.114,131.562,129.571,130.316,5841200,0.0,0.0
2018-11-05,130.974,131.404,130.132,130.325,5036500,0.0,0.0
2018-11-06,130.343,132.141,130.343,131.729,4281000,0.0,0.0
2018-11-07,132.5,134.15,131.772,134.097,5780400,0.0,0.0
2018-11-08,134.053,134.474,132.807,133.676,2602100,0.0,0.0
2018-11-09,132.974,133.176,131.29,131.799,3807100,0.0,0.0
2018-11-12,132.027,132.457,129.316,129.623,3037900,0.0,0.0
2018-11-13,130.202,131.641,129.343,130.343,2725000,0.0,0.0
2018-11-14,131.36,132.886,128.632,130.316,4034400,0.0,0.0
2018-11-15,129.746,133.457,128.711,132.834,3435400,0.0,0.0
2018-11-16,133.158,134.158,132.465,132.825,3226100,0.0,0.0
2018-11-19,131.895,132.79,130.588,132.141,4401400,0.0,0.0
2018-11-20,129.395,129.667,123.658,124.176,7317700,0.0,0.0
2018-11-21,124.658,126.86,124.369,126.404,4779600,0.0,0.0
2018-11-23,125.071,126.421,124.772,125.913,1608600,0.0,0.0
2018-11-26,126.342,126.895,124.641,125.228,4868600,0.0,0.0
2018-11-27,125.606,129.281,125.167,129.281,4907500,0.0,0.0
2018-11-28,130.465,133.457,128.606,133.316,4358300,0.0,0.0
2018-11-29,133.052,133.757,132.046,132.699,2970200,0.8,0.0
2018-11-30,132.487,136.129,132.399,135.609,6214500,0.0,0.0
2018-12-03,138.449,140.768,137.911,138.563,5085400,0.0,0.0
2018-12-04,137.858,138.969,133.801,134.948,4385300,0.0,0.0
2018-12-06,131.799,133.819,129.524,133.757,5258600,0.0,0.0
2018-12-07,133.907,135.38,129.886,130.027,5287000,0.0,0.0
2018-12-10,129.101,131.041,127.126,130.547,4558100,0.0,0.0
2018-12-11,132.355,133.29,129.507,130.371,3333200,0.0,0.0
2018-12-12,132.399,133.06,129.657,129.93,5023800,0.0,0.0
2018-12-13,130.706,130.706,127.514,128.607,5340300,0.0,0.0
2018-12-14,127.32,128.634,125.097,125.724,4505800,0.0,0.0
2018-12-17,125.291,125.397,122.337,123.105,4226700,0.0,0.0
2018-12-18,124.022,124.903,122.311,123.263,2800300,0.0,0.0
2018-12-19,122.796,125.785,119.877,120.715,3597000,0.0,0.0
2018-12-20,120.177,120.803,117.381,118.766,5960700,0.0,0.0
2018-12-21,118.316,121.394,116.649,116.879,7588300,0.0,0.0
2018-12-24,116.87,116.87,112.946,113.06,2466000,0.0,0.0
2018-12-26,114.013,119.992,113.686,119.948,3739700,0.0,0.0
2018-12-27,118.122,120.935,116.376,120.935,3224600,0.0,0.0
2018-12-28,121.632,122.205,119.903,120.618,2769400,0.0,0.0
2018-12-31,121.729,122.143,120.397,121.896,2552300,0.0,0.0
2019-01-02,119.621,121.976,118.845,121.5,3606300,0.0,0.0
